Product,Amount,Date
Laptop Pro,1299.99,2024-03-25
Wireless Headphones,199.99,2024-03-24
Smart Watch,349.99,2024-03-24
Phone Case,29.99,2024-03-23
Tablet Mini,499.99,2024-03-23
Power Bank,49.99,2024-03-22
USB-C Cable,19.99,2024-03-22
Bluetooth Speaker,89.99,2024-03-21
Gaming Mouse,79.99,2024-03-21
Keyboard Elite,129.99,2024-03-20
Monitor 4K,699.99,2024-03-20
Webcam HD,59.99,2024-03-19
External SSD,159.99,2024-03-19
Graphics Card,899.99,2024-03-18
RAM 32GB,199.99,2024-03-18
CPU i9,599.99,2024-03-17
Motherboard Pro,299.99,2024-03-17
PC Case,149.99,2024-03-16
Power Supply,129.99,2024-03-16
Cooling Fan,39.99,2024-03-15 
